runs/r46-s2/2026-09-23-152219-7300c71b/: 34095 bodies with a genome; births per body-hour by the root's birth pose
  window         trait                   bodies  body-seconds  births   per hour
   3000-6000     born flat (thin on y)     2420       3003843    1236       1.48
   3000-6000     born on edge               504        806412     165       0.74
   6000-10000    born flat (thin on y)     3020       4513260    2098       1.67
   6000-10000    born on edge               452        827427     162       0.70
  10000-15000    born flat (thin on y)     6402      11375547    4865       1.54
  10000-15000    born on edge               327        622207      87       0.50
  15000-20000    born flat (thin on y)     8989      16702662    6106       1.32
  15000-20000    born on edge               155        219980       8       0.13
  20000-30000    born flat (thin on y)    20706      51545366   16524       1.15
  20000-30000    born on edge               116         71212       4       0.20
