runs/r46-s3/2026-09-23-152225-7300c71b/: 21907 bodies with a genome; births per body-hour by the root's birth pose
  window         trait                   bodies  body-seconds  births   per hour
   3000-6000     born flat (thin on y)       90        103158      27       0.94
   3000-6000     born on edge              1717       2313089     577       0.90
   6000-10000    born flat (thin on y)       85        110837      21       0.68
   6000-10000    born on edge              1914       2726864    1273       1.68
  10000-15000    born flat (thin on y)       85        131949      22       0.60
  10000-15000    born on edge              3495       5920686    2596       1.58
  15000-20000    born flat (thin on y)       66         65262       7       0.39
  15000-20000    born on edge              5470       9340416    3896       1.50
  20000-30000    born flat (thin on y)       53         21465       0       0.00
  20000-30000    born on edge             13859      31597872   11631       1.33
